id,day,size.cat,Table,Tank,DOFSample,time.in.oven,time.out.oven,dat.filter,dat.count,observer,red.fib,yell.fib,green.fib,turq.fib,blu.fib,purp.fib,gray.fib,clear.fib,pink.fib,brown.fib,orang.fib,black.fib,tot.fib,red.frag,yell.frag,green.frag,turq.frag,blu.frag,purp.frag,gray.frag,clear.frag,pink.frag,brown.frag,orang.frag,black.frag,whit.spher,clear.spher,tot.frag.spher,tot.part
Water Day 0 A,0,twentyto50,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 A,0,fiftyto100,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 A,0,onehundredto500,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 A,0,fivehundredto1000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 A,0,onethousandto5000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,twentyto50,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,fiftyto100,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,onehundredto500,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,fivehundredto1000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,onethousandto5000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 C,0,twentyto50,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 C,0,fiftyto100,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 C,0,onehundredto500,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 C,0,fivehundredto1000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 C,0,onethousandto5000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 D,0,twentyto50,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 D,0,fiftyto100,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 D,0,onehundredto500,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 D,0,fivehundredto1000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 D,0,onethousandto5000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 A,1,twentyto50,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 A,1,fiftyto100,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 A,1,onehundredto500,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 A,1,fivehundredto1000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 A,1,onethousandto5000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 B,1,twentyto50,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 B,1,fiftyto100,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 B,1,onehundredto500,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 B,1,fivehundredto1000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 B,1,onethousandto5000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 C,1,twentyto50,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 C,1,fiftyto100,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 C,1,onehundredto500,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 C,1,fivehundredto1000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 C,1,onethousandto5000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 D,1,twentyto50,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 D,1,fiftyto100,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 D,1,onehundredto500,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 D,1,fivehundredto1000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 1 D,1,onethousandto5000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 A,3,twentyto50,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 A,3,fiftyto100,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 A,3,onehundredto500,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 A,3,fivehundredto1000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 A,3,onethousandto5000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 B,3,twentyto50,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 B,3,fiftyto100,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 B,3,onehundredto500,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 B,3,fivehundredto1000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 B,3,onethousandto5000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 C,3,twentyto50,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 C,3,fiftyto100,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 C,3,onehundredto500,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 C,3,fivehundredto1000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 C,3,onethousandto5000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 D,3,twentyto50,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 D,3,fiftyto100,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 D,3,onehundredto500,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 D,3,fivehundredto1000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 3 D,3,onethousandto5000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 A,5,twentyto50,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 A,5,fiftyto100,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 A,5,onehundredto500,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 A,5,fivehundredto1000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 A,5,onethousandto5000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 B,5,twentyto50,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 B,5,fiftyto100,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 B,5,onehundredto500,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 B,5,fivehundredto1000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 B,5,onethousandto5000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 C,5,twentyto50,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 C,5,fiftyto100,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 C,5,onehundredto500,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 C,5,fivehundredto1000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 C,5,onethousandto5000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 D,5,twentyto50,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 D,5,fiftyto100,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 D,5,onehundredto500,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 D,5,fivehundredto1000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 5 D,5,onethousandto5000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 A,10,twentyto50,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 A,10,fiftyto100,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 A,10,onehundredto500,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 A,10,fivehundredto1000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 A,10,onethousandto5000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 B,10,twentyto50,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 B,10,fiftyto100,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 B,10,onehundredto500,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 B,10,fivehundredto1000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 B,10,onethousandto5000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 C,10,twentyto50,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 C,10,fiftyto100,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 C,10,onehundredto500,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 C,10,fivehundredto1000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 C,10,onethousandto5000,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 D,10,twentyto50,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 D,10,fiftyto100,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 D,10,onehundredto500,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 D,10,fivehundredto1000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 10 D,10,onethousandto5000,D,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
